

Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.390
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN
625A            |14804|BATTERY BUTON CELL ALKALINE 1.5V 15.4X6.05MM 390MAH EPX13 625A  |625A            |   $1.50|EACH    |   0
386-301TZ       |12439|BATTERY BUTTON CELL 1.55V 130MAH 11.6MMX4.2MM 186/301/386/      |386             |   $1.75|EACH    |   3
391             |10243|BATTERY BUTTON CELL 11.6 X 2.1MM 1.55V SILVER-OXIDE (SR55, SR112|SR55            |   $1.00|EACH    |   0
392             |10279|BATTERY BUTTON CELL 7.9X3.6MM 1.55V SIVER-OXIDE (SR41,SR736,392,|392-BAT         |   $1.20|EACH    |   3
A76             |10185|BATTERY BUTTON CELL ALKALINE 1.5V 11.6X5.4MM LR44 A76 150MAH  (O|A76             |   $0.75|EACH    |  12
AG3             |13114|BATTERY BUTTON CELL ALKALINE 7.9X3.6MM 1.5V (AG3,LR41,392A,192) |AG3             |   $0.40|EACH    |  67
CR1220          |13480|BATTERY BUTTON CELL COIN LITHIUM 12.5MM X 2.0MM 3V CR1220  (OS) |CR1220          |   $1.00|EACH    |  10
344E            |16176|BATTERY BUTTON CELL SILVER OXIDE 1.55V 344/350 SR1136SW SR42    |344/350BATTERY  |   $2.95|EACH    |   0
321.MP 0% HG    |15572|BATTERY BUTTON COIN CELL SILVER OXIDE 6.8X1.65MM 14.5MAH 321 SR6|321             |   $1.25|EACH    |   2
397-396TZ       |15214|BATTERY BUTTON SILVER OXIDE 1.55V 7.9X2.6MM 33MAH 397/396/SR726 |397/396         |   $1.50|EACH    |   5
MH-BH4AA        |12967|BATTERY CASE 4-CELL AA/AAA CLEAR PLASTIC                        |BATCASE4AA/AAA  |   $1.50|EACH    |   8
BH5X            |14817|BATTERY CELL PHONE OEM LI-ION BATTERY 3.7V 1500MAH              |BH5X            |  $14.93|EACH    |   0
BR50            |13478|BATTERY CELL PHONE OEM MOTOROLA BR50 LITHIUM-ION         CHEMICA|BR50            |  $10.98|EACH    |   0
QCC4EVR         | 9901|BATTERY CHARGER 9V                                         (OE) |BAT CHARGE 9V   |  $21.88|EACH    |   0
?               |12574|BATTERY CHARGER NIMH & NICD 2/4/6/8 PCS AA OR AAA               |CHARGER8        |  $14.11|EACH    |   0
233             | 5991|BATTERY CLIP 9V SNAP 6" LEADS                                   |9V-BAT-CLIP     |   $0.55|EACH    |  32
?               |14462|BATTERY CLIP 9V SNAP 6" LEADS W/2P CONNECTOR                    |9V-BAT-CLIP-2P  |   $0.75|EACH    |  13
315             |14574|BATTERY COIN BUTTON CELL 315 (SR716) 1.55V 19MAH 7.9MM X 1.65MM |315/SR716       |   $1.50|EACH    |   4
319 MP          |14538|BATTERY COIN BUTTON CELL 319 (SR527) 1.55V 21MAH 5.8MM X 2.7MM  |319/SR527       |   $1.50|EACH    |   5
337             |14575|BATTERY COIN BUTTON CELL 337 (SR416) 1.55V 8MAH 4.8MM X 1.65MM  |337/SR416       |   $3.00|EACH    |   2
?               |15571|BATTERY COIN CELL ALKALINE 1.55V 7.9X2.1MM AG11 LR721 SR721 LR58|AG11            |   $0.75|EACH    |  11
LR44            |14324|BATTERY COIN CELL ALKALINE 1.5V 11.6X5.4MM 115MAH LR44 357 AG13 |LR44 - AG13     |   $0.40|EACH    | 191
317             |15573|BATTERY COIN CELL SILVER OXIDE 1.55V 11MAH 5.8X1.65MM 317 SR516 |317             |   $1.50|EACH    |   5
379             |15574|BATTERY COIN CELL SILVER OXIDE 1.55V 16MAH 5.8X2.15MM 379 SR521 |379             |   $1.00|EACH    |  14
373             |13368|BATTERY COIN CELL SILVER OXIDE 1.55V 29MAH 9.5X1.6MM (SR916SW,37|373             |   $1.50|EACH    |  10
523BP           | 7251|BATTERY COMPUTER CLOCK 4.5VOLT                                  |523BP           |   $4.66|EACH    |   0
M5545LL/C       | 8073|BATTERY COMPUTER POWERBOOK 2.9AHR PB140/170                     |5545            |  $79.80|EACH    |   0
?               |12198|BATTERY CORDLESS PHONE 2/3AA 3.6V 300MAH UNIVERSAL CONNECTOR    |BAT-PHONE2/3AA  |   $5.00|EACH    |   1
BC12AAL-ND      | 8940|BATTERY HDW HOLDER 2 "AA" SERIES                                |2/AAS           |   $1.00|EACH    |   0
BH24AAAW        | 5950|BATTERY HDW HOLDER AAA 4 CELL WITH WIRES                        |BHAAA           |   $2.00|EACH    |   6
BH14AAW-ND      | 9610|BATTERY HDW HOLDER FOUR AA                                      |4-AA 2S2        |   $1.00|EACH    |   0
?               | 6036|BATTERY HDW HOLDER FOUR AA SIDE BY SIDE 6" WIRE LEADS           |BAT-HLD-4-AA    |   $2.50|EACH    |  21
270-396         | 5954|BATTERY HDW HOLDER SIX "C"                                      |270-399         |   $1.68|EACH    |   0
?               |13897|BATTERY HOLDER 1 AA W/WIRE LEADS                                |BAT-HLDR-1AA    |   $1.00|EACH    |   6
?               |13090|BATTERY HOLDER 1-AAA W/WIRE LEADS                               |BAT-HLDER-1AAA  |   $1.00|EACH    |   6
BC2AAAL         | 8944|BATTERY HOLDER 2 AAA SIDE BY SIDE W/SWITCH & COVER 6" WIRE LEADS|BAH2            |   $2.00|EACH    |  91
?               | 8296|BATTERY HOLDER 2-AA SIDE BY SIDE W/COVER & SWITCH & 6" WIRE LEAD|BATHOLD-2AA     |   $2.25|EACH    |  23
?               | 5949|BATTERY HOLDER 9V SNAP-IN W/WIRE LEADS                          |BAT-HOLDER-9V   |   $1.77|EACH    |  16
?               |15164|BATTERY HOLDER 9V W/WIRE LEADS, COVER AND SWITCH                |HOLDER-SW-9V    |   $3.00|EACH    |  23
171             |11195|BATTERY HOLDER ALUMINUM 3-AA                                    |171             |   $2.80|EACH    |   0
BH-383-A        |15296|BATTERY HOLDER EIGHT 8 AA W/6" WIRE LEADS                       |BAT-HOLD-8-AA   |   $2.00|EACH    |   9
12BH142A-GR     | 5952|BATTERY HOLDER FOUR 4 "D" WITH WIRE LEADS                       |BAT-HLD-4D      |   $2.50|EACH    |   3
?               | 5953|BATTERY HOLDER PLASTIC FOUR "C" CELLS W/WIRE LEADS              |BAT-HOLDER-4C   |   $2.50|EACH    |   4
                | 5951|BATTERY HOLDER SINGLE "C" CELL W/WIRE LEADS                     |270-402         |   $1.00|EACH    |   6
-               | 9611|BATTERY HOLDER SIX AA 2X3 PATTERN W/6" WIRE LEADS               |BH26AAW-ND      |   $2.50|EACH    |   9
SBH-431-1A      |12901|BATTERY HOLDER WITH COVER 3 AAA SIDE BY SIDE 6" WIRE LEADS      |BAT-HLDR-3AAA   |   $1.50|EACH    |   2
1294            | 9625|BATTERY HWD HOLDER 9V NYLON PC MOUNT                            |1294            |   $1.33|EACH    |   1
KM0322          |14751|BATTERY KIT RECHARGE. LI-ION 2-BATERIES & CHARGER FOR NIKON EN-E|EN-EL14-VIV-KT  |  $49.95|EACH    |   0
?               |14086|BATTERY LI-ION REPLACEMENT FOR HP LAPTOPS 10.8V 4400MAH         |BAT-LAPTOP-HP   |  $37.79|EACH    |   0
?               |13911|BATTERY LI-ION REPLACEMENT FOR IMB THINKPAD T40/41/42/42/R50 10.|BAT-IBM-T40     |  $35.33|EACH    |   0
LIB-57XT        |12977|BATTERY LI-ION REPLACEMENT FOR LENOVO THINKPAD Z60T SERIES 5200M|LAPTOP-BAT-IBM  | $115.55|EACH    |   0
?               |14381|BATTERY LI-ION REPLACEMENT FOR SONY VAIO OEM#VGP-BPS5A          |BAT-SONY-VAIO   |  $36.95|EACH    |   0
